index,speaker_actor_id,speaker_kind,text_normalized,lfl_file,room_id,script_id,object_id,verb_id,opcode,opcode_offset,message_offset
1,0,direct_actor,or,01.LFL,1,-1,20,-1,0x14,6,31
2,1,ego,Tastes great!,01.LFL,1,-1,24,-1,0xD8,82,84
3,1,ego,It's a bunch of trophies that the Archaeology<CTRL1>Department won.,01.LFL,1,-1,25,-1,0xD8,44,46
4,1,ego,I wouldn't want to take those trophies!,01.LFL,1,-1,25,-1,0xD8,110,112
5,1,ego,There are various treasures and artifacts that I brought<CTRL1>back from my expeditions.,01.LFL,1,-1,26,-1,0xD8,45,47
6,1,ego,"No, they're safe where they are.",01.LFL,1,-1,26,-1,0xD8,132,134
7,1,ego,"Hmm, build your own rice casserole.",01.LFL,1,-1,27,-1,0xD8,45,47
8,1,ego,Offered: boxing lessons.  See the coach.,01.LFL,1,-1,27,-1,0xD8,93,95
9,1,ego,"FOR SALE: one space in Dr. Jones' class, best offer.",01.LFL,1,-1,27,-1,0xD8,146,148
10,1,ego,"FOR SALE: classic Model T, complete with fuzzy dice.",01.LFL,1,-1,27,-1,0xD8,211,213
11,1,ego,FOR SALE: complete set of books by Professor Ravenswood.,01.LFL,1,-1,27,-1,0xD8,276,278
12,1,ego,"FOR SALE: 6000 rats, 500 snakes.  Call S. Spielberg.",01.LFL,1,-1,27,-1,0xD8,350,352
13,1,ego,There's a class in session.,01.LFL,1,-1,-1,-1,0xD8,7,9
14,1,direct_actor,"Hello again, Marcus!  Did I miss anything while I was gone?",01.LFL,1,29,-1,-1,0x14,68,71
15,4,direct_actor,"Let's see.  Remember last month, Professor Mulbray asked<CTRL1>you to date that expensive Mexican statue he'd bought?",01.LFL,1,29,-1,-1,0x14,132,135
16,1,ego,"Why yes - that cheap imitation.  Of course, he didn't believe<CTRL1>me until I broke it in half to show him the cross section.",01.LFL,1,29,-1,-1,0xD8,249,251
17,4,direct_actor,"That may have been a bit harsh, considering his situation!",01.LFL,1,29,-1,-1,0x14,374,377
18,4,direct_actor,"Well, never mind.  Congratulations on obtaining the cross.",01.LFL,1,29,-1,-1,0x14,618,621
19,4,direct_actor,You'll have to be the judge of that.,01.LFL,1,29,-1,-1,0x14,691,694
20,4,direct_actor,It seems a bit unfair to catch the lad coming and going.,01.LFL,1,29,-1,-1,0x14,691,694
21,4,direct_actor,"You see, we've hired a new geologist who fancies himself<CTRL1>quite the archaeologist.",01.LFL,1,29,-1,-1,0x14,910,913
22,4,direct_actor,He advised Mulbray to buy that statue.,01.LFL,1,29,-1,-1,0x14,910,913
23,4,direct_actor,His name is John Reid.,01.LFL,1,29,-1,-1,0x14,1165,1168
24,4,direct_actor,Don't know what the geology department had<CTRL1>in mind when they picked him up.,01.LFL,1,29,-1,-1,0x14,1165,1168
25,4,direct_actor,"Me?  Lead Mulbray on a wild goose chase^ why, I^",01.LFL,1,29,-1,-1,0x14,1285,1288
26,1,ego,"Thanks.  We can discuss my honorarium later, over<CTRL1>dinner and champagne.",01.LFL,1,29,-1,-1,0xD8,1358,1360
27,1,ego,It's full of solvent.  I use it to clean things.,02.LFL,2,-1,71,-1,0xD8,39,41
28,1,ego,Phew!  What a smell!,02.LFL,2,-1,71,-1,0xD8,107,109
29,1,ego,That's better.,02.LFL,2,-1,71,-1,0xD8,147,149
30,1,ego,It's too dangerous to carry this with me.,02.LFL,2,-1,71,-1,0xD8,165,167
31,1,ego,It seems to be working^,02.LFL,2,-1,71,-1,0xD8,242,244
32,1,ego,Hey!  There's a key in here!,02.LFL,2,-1,71,-1,0xD8,277,279
33,1,ego,It's already clean.,02.LFL,2,-1,71,-1,0xD8,332,334
34,1,ego,I'd better not.  Those kids are still out there.,02.LFL,2,-1,63,-1,0xD8,64,66
35,1,ego,It's a beautiful day today.,02.LFL,2,-1,64,-1,0xD8,45,47
36,1,ego,It's just junk mail.,02.LFL,2,-1,65,-1,0xD8,61,63
37,1,ego,It's nothing important.,02.LFL,2,-1,65,-1,0xD8,85,87
38,1,ego,It's more junk letters.,02.LFL,2,-1,66,-1,0xD8,59,61
39,1,ego,"It's just papers, nothing important.",02.LFL,2,-1,67,-1,0xD8,55,57
40,1,ego,It has Hitler's autograph in it!,02.LFL,2,-1,68,-1,0xD8,69,71
41,1,ego,It's my father's Grail Diary!,02.LFL,2,-1,68,-1,0xD8,117,119
42,1,ego,It's a package from my father!,02.LFL,2,-1,68,-1,0xD8,169,171
